-8.145500, 115.104900, 150m
-8.145455, 115.104945, 152m
-8.145410, 115.104990, 154m
-8.145365, 115.105035, 156m
-8.145320, 115.105080, 158m
-8.145275, 115.105125, 160m
-8.145230, 115.105170, 162m
-8.145185, 115.105215, 164m
-8.145140, 115.105260, 166m
-8.145095, 115.105305, 168m
-8.145050, 115.105350, 170m
-8.145005, 115.105395, 172m
-8.144960, 115.105440, 174m
-8.144915, 115.105485, 176m
-8.144870, 115.105530, 178m
-8.144825, 115.105575, 180m
-8.144780, 115.105620, 182m
-8.144735, 115.105665, 184m
-8.144690, 115.105710, 186m
-8.144645, 115.105755, 188m
-8.144600, 115.105800, 190m
-8.144555, 115.105845, 192m
-8.144510, 115.105890, 194m
-8.144465, 115.105935, 196m
-8.144420, 115.105980, 198m
-8.144375, 115.106025, 200m
-8.144330, 115.106070, 202m
-8.144285, 115.106115, 204m
-8.144240, 115.106160, 206m
-8.144195, 115.106205, 208m
-8.144150, 115.106250, 210m
-8.144105, 115.106295, 212m
-8.144060, 115.106340, 214m
-8.144015, 115.106385, 216m
-8.143970, 115.106430, 218m
-8.143925, 115.106475, 220m
-8.143880, 115.106520, 222m
-8.143835, 115.106565, 224m
-8.143790, 115.106610, 226m
-8.143745, 115.106655, 228m
-8.143700, 115.106700, 230m
-8.143655, 115.106745, 232m
-8.143610, 115.106790, 234m
-8.143565, 115.106835, 236m
-8.143520, 115.106880, 238m
-8.143475, 115.106925, 240m
-8.143430, 115.106970, 242m
-8.143385, 115.107015, 244m
-8.143340, 115.107060, 246m
-8.143295, 115.107105, 248m
-8.143250, 115.107150, 250m
-8.143205, 115.107195, 252m
-8.143160, 115.107240, 254m
-8.143115, 115.107285, 256m
-8.143070, 115.107330, 258m
-8.143025, 115.107375, 260m
-8.142980, 115.107420, 262m
-8.142935, 115.107465, 264m
-8.142890, 115.107510, 266m
-8.142845, 115.107555, 268m
-8.142800, 115.107600, 270m
-8.142755, 115.107645, 272m
-8.142710, 115.107690, 274m
-8.142665, 115.107735, 276m
-8.142620, 115.107780, 278m
-8.142575, 115.107825, 280m
-8.142530, 115.107870, 282m
-8.142485, 115.107915, 284m
-8.142440, 115.107960, 286m
-8.142395, 115.108005, 288m
-8.142350, 115.108050, 290m
-8.142305, 115.108095, 292m
-8.142260, 115.108140, 294m
-8.142215, 115.108185, 296m
-8.142170, 115.108230, 298m
-8.142125, 115.108275, 300m
-8.142080, 115.108320, 302m
-8.142035, 115.108365, 304m
-8.141990, 115.108410, 306m
-8.141945, 115.108455, 308m
-8.141900, 115.108500, 310m
-8.141855, 115.108545, 312m
-8.141810, 115.108590, 314m
-8.141765, 115.108635, 316m
-8.141720, 115.108680, 318m
-8.141675, 115.108725, 320m
-8.141630, 115.108770, 322m
-8.141585, 115.108815, 324m
-8.141540, 115.108860, 326m
-8.141495, 115.108905, 328m
-8.141450, 115.108950, 330m
-8.141405, 115.108995, 332m
-8.141360, 115.109040, 334m
-8.141315, 115.109085, 336m
-8.141270, 115.109130, 338m
-8.141225, 115.109175, 340m
-8.141180, 115.109220, 342m
-8.141135, 115.109265, 344m
-8.141090, 115.109310, 346m
-8.141045, 115.109355, 348m
-8.141000, 115.109400, 350m
